"Energy","Efficiency"
0.000000000000000000e+00,0.000000000000000000e+00
2.102102102102102188e-01,5.103470809892338177e-05
4.204204204204204376e-01,4.088888127460982465e-03
6.306306306306306286e-01,2.535560860404362932e-02
8.408408408408408752e-01,6.728903295552997321e-02
1.051051051051051122e+00,1.466246905867745753e-01
1.261261261261261257e+00,2.681186406985704984e-01
1.471471471471471615e+00,4.227177495795061968e-01
1.681681681681681750e+00,5.717632843854376645e-01
1.891891891891891886e+00,6.871644057300246855e-01
2.102102102102102243e+00,7.599736941137265056e-01
2.312312312312312379e+00,8.046746518051968167e-01
2.522522522522522515e+00,8.290912386854291105e-01
2.732732732732732650e+00,8.437405521843551748e-01
2.942942942942943230e+00,8.530410154132849199e-01
3.153153153153153365e+00,8.593502342655786608e-01
3.363363363363363501e+00,8.643117381303188074e-01
3.573573573573573636e+00,8.682567097555315971e-01
3.783783783783783772e+00,8.715811070718483267e-01
3.993993993993994351e+00,8.744119597394035548e-01
4.204204204204204487e+00,8.767677748526023773e-01
4.414414414414414622e+00,8.787116297543237087e-01
4.624624624624624758e+00,8.802087993905257646e-01
4.834834834834834894e+00,8.813664558239734381e-01
5.045045045045045029e+00,8.822439999985588477e-01
5.255255255255255165e+00,8.829013491190701446e-01
5.465465465465465300e+00,8.834114245050966874e-01
5.675675675675676324e+00,8.837915867318150154e-01
5.885885885885886459e+00,8.840859187629733773e-01
6.096096096096096595e+00,8.843237506261443226e-01
6.306306306306306730e+00,8.845325579748379852e-01
6.516516516516516866e+00,8.847294143759484308e-01
6.726726726726727001e+00,8.849180560032683385e-01
6.936936936936937137e+00,8.850997455297734406e-01
7.147147147147147273e+00,8.852748505468224227e-01
7.357357357357357408e+00,8.854436150855000687e-01
7.567567567567567544e+00,8.856062556674761943e-01
7.777777777777777679e+00,8.857629801578564832e-01
7.987987987987988703e+00,8.859139894908013568e-01
8.198198198198198838e+00,8.860594774455929912e-01
8.408408408408408974e+00,8.861996312311957169e-01
8.618618618618619109e+00,8.863346317090299298e-01
8.828828828828829245e+00,8.864646536081938200e-01
9.039039039039039380e+00,8.865898657333852739e-01
9.249249249249249516e+00,8.867104311657780791e-01
9.459459459459459651e+00,8.868265074570830242e-01
9.669669669669669787e+00,8.869382468170319278e-01
9.879879879879879923e+00,8.870457962945025310e-01
1.009009009009009006e+01,8.871492979525057443e-01
1.030030030030030019e+01,8.872488890372350889e-01
1.051051051051051033e+01,8.873447021413870539e-01
1.072072072072072046e+01,8.874368653619445491e-01
1.093093093093093060e+01,8.875255024526091940e-01
1.114114114114114074e+01,8.876107329710644089e-01
1.135135135135135265e+01,8.876926724212466091e-01
1.156156156156156278e+01,8.877714323907940352e-01
1.177177177177177292e+01,8.878471206838305374e-01
1.198198198198198305e+01,8.879198414492533997e-01
1.219219219219219319e+01,8.879896953046659824e-01
1.240240240240240333e+01,8.880567794561109451e-01
1.261261261261261346e+01,8.881211878137436067e-01
1.282282282282282360e+01,8.881830111035827757e-01
